Date;Time;Thread ID;Log Type;Log Level;Message;
2023-11-11;08:37:09;1;General;Informational;============== LOGGER INITIALIZED FOR CabinetDataStore ============== ;
2023-11-11;08:37:10;1;Application;Informational;"Date: 11.11.2023 08:37:10.076; WhereItCameFrom: PatientForm; Message: Load Patients form"
2023-11-11;08:37:20;1;Application;Informational;"Date: 11.11.2023 08:37:20.811; WhereItCameFrom: srchButton_Click; Message: Patient found:"
2023-11-11;08:37:40;1;Application;Informational;"Date: 11.11.2023 08:37:40.121; WhereItCameFrom: srchButton_Click; Message: Patient found:"
2023-11-11;09:01:50;1;General;Informational;================================================================;
2023-11-11;09:01:50;1;General;Informational;============== LOGGER INITIALIZED FOR CabinetDataStore ============== ;
2023-11-11;09:01:50;1;Application;Informational;"Date: 11.11.2023 09:01:50.843; WhereItCameFrom: PatientForm; Message: Load Patients form"
2023-11-11;17:07:45;1;General;Informational;================================================================;
2023-11-11;17:07:45;1;General;Informational;============== LOGGER INITIALIZED FOR CabinetDataStore ============== ;
2023-11-11;17:07:45;1;Application;Informational;"Date: 11.11.2023 17:07:45.970; WhereItCameFrom: PatientForm; Message: Load Patients form"
2023-11-11;17:10:21;1;General;Informational;================================================================;
2023-11-11;17:10:21;1;General;Informational;============== LOGGER INITIALIZED FOR CabinetDataStore ============== ;
2023-11-11;17:10:21;1;Application;Informational;"Date: 11.11.2023 17:10:21.519; WhereItCameFrom: PatientForm; Message: Load Patients form"
2023-11-11;17:11:14;1;General;Informational;================================================================;
2023-11-11;17:11:14;1;General;Informational;============== LOGGER INITIALIZED FOR CabinetDataStore ============== ;
2023-11-11;17:11:14;1;Application;Informational;"Date: 11.11.2023 17:11:14.608; WhereItCameFrom: PatientForm; Message: Load Patients form"
2023-11-11;17:14:23;1;General;Informational;================================================================;
2023-11-11;17:14:23;1;General;Informational;============== LOGGER INITIALIZED FOR CabinetDataStore ============== ;
2023-11-11;17:14:24;1;Application;Informational;"Date: 11.11.2023 17:14:24.005; WhereItCameFrom: PatientForm; Message: Load Patients form"
