Date;Time;Thread ID;Log Type;Log Level;Message;
2025-03-14;03:39:35;1;General;Informational;============== LOGGER INITIALIZED FOR CabinetDataStore ============== ;
2025-03-14;03:39:35;1;Application;Informational;"Date: 14.03.2025 03:39:35.695; WhereItCameFrom: PatientForm; Message: Load Patients form"
2025-03-14;03:41:52;1;General;Informational;================================================================;
2025-03-14;03:41:52;1;General;Informational;============== LOGGER INITIALIZED FOR CabinetDataStore ============== ;
2025-03-14;03:41:52;1;Application;Informational;"Date: 14.03.2025 03:41:52.532; WhereItCameFrom: PatientForm; Message: Load Patients form"
2025-03-14;03:42:54;1;General;Informational;================================================================;
2025-03-14;03:42:54;1;General;Informational;============== LOGGER INITIALIZED FOR CabinetDataStore ============== ;
2025-03-14;03:42:54;1;Application;Informational;"Date: 14.03.2025 03:42:54.834; WhereItCameFrom: PatientForm; Message: Load Patients form"
2025-03-14;03:43:06;1;General;Informational;================================================================;
2025-03-14;03:43:06;1;General;Informational;============== LOGGER INITIALIZED FOR CabinetDataStore ============== ;
2025-03-14;03:43:06;1;Application;Informational;"Date: 14.03.2025 03:43:06.579; WhereItCameFrom: PatientForm; Message: Load Patients form"
2025-03-14;03:43:14;1;General;Informational;================================================================;
2025-03-14;03:43:14;1;General;Informational;============== LOGGER INITIALIZED FOR CabinetDataStore ============== ;
2025-03-14;03:43:14;1;Application;Informational;"Date: 14.03.2025 03:43:14.482; WhereItCameFrom: PatientForm; Message: Load Patients form"
2025-03-14;03:44:42;1;General;Informational;================================================================;
2025-03-14;03:44:42;1;General;Informational;============== LOGGER INITIALIZED FOR CabinetDataStore ============== ;
2025-03-14;03:44:42;1;Application;Informational;"Date: 14.03.2025 03:44:42.371; WhereItCameFrom: PatientForm; Message: Load Patients form"
